id,object,measure,type
N93,<music21.note.Rest half>,6,GeneralNote
N94,<music21.note.Rest quarter>,6,GeneralNote
N95,<music21.note.Rest half>,6,GeneralNote
N96,<music21.note.Rest eighth>,6,GeneralNote
N97,<music21.note.Note G->,6,GeneralNote
N98,<music21.note.Note E->,6,GeneralNote
N99,<music21.chord.Chord G-4 C-5>,6,GeneralNote
N100,<music21.note.Rest half>,6,GeneralNote
N101,<music21.note.Note E->,6,GeneralNote
N102,<music21.note.Rest half>,6,GeneralNote
N103,<music21.note.Note C->,6,GeneralNote
N897,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note G>>,6,Slur
N928,<music21.dynamics.Dynamic pp>,6,DynamicPoint
N104,<music21.note.Note B->,7,GeneralNote
N105,<music21.chord.Chord B-4 E-5>,7,GeneralNote
N106,<music21.note.Rest half>,7,GeneralNote
N107,<music21.note.Rest half>,7,GeneralNote
N108,<music21.note.Note G>,7,GeneralNote
N109,<music21.note.Rest half>,7,GeneralNote
N110,<music21.note.Rest half>,7,GeneralNote
N111,<music21.note.Rest dotted-whole>,7,GeneralNote
N112,<music21.note.Rest quarter>,7,GeneralNote
N113,<music21.note.Rest quarter>,7,GeneralNote
N114,<music21.note.Note G>,7,GeneralNote
N115,<music21.chord.Chord B-2 E-3 G3>,7,GeneralNote
N116,<music21.note.Rest quarter>,7,GeneralNote
N117,<music21.note.Rest 16th>,7,GeneralNote
N118,<music21.note.Note E->,7,GeneralNote
N119,<music21.note.Note D->,7,GeneralNote
N120,<music21.note.Note C->,7,GeneralNote
N121,<music21.note.Rest quarter>,7,GeneralNote
N122,<music21.note.Note D->,7,GeneralNote
N123,<music21.note.Note G>,7,GeneralNote
N124,<music21.chord.Chord B-2 E-3 G3>,7,GeneralNote
N125,<music21.note.Rest quarter>,7,GeneralNote
N126,<music21.note.Note B->,7,GeneralNote
N987,<music21.expressions.TextExpression 'voller'>,7,TextExpression
N127,<music21.note.Rest half>,8,GeneralNote
N128,<music21.note.Note C->,8,GeneralNote
N129,<music21.chord.Chord C-3 E-3 A-3>,8,GeneralNote
N130,<music21.note.Note A->,8,GeneralNote
N131,<music21.note.Rest dotted-whole>,8,GeneralNote
N132,<music21.note.Note B->,8,GeneralNote
N133,<music21.note.Note A->,8,GeneralNote
N134,<music21.articulations.Staccato>,8,Articulation
N135,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N136,<music21.note.Rest half>,8,GeneralNote
N137,<music21.note.Rest half>,8,GeneralNote
N138,<music21.note.Rest half>,8,GeneralNote
N139,<music21.note.Rest quarter>,8,GeneralNote
N140,<music21.note.Rest half>,8,GeneralNote
N141,<music21.note.Rest eighth>,8,GeneralNote
N142,<music21.note.Note C->,8,GeneralNote
N143,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N144,<music21.note.Rest half>,8,GeneralNote
N145,<music21.note.Rest half>,8,GeneralNote
N146,<music21.note.Rest half>,8,GeneralNote
N147,<music21.note.Note A->,8,GeneralNote
N148,<music21.note.Rest half>,8,GeneralNote
N149,<music21.note.Note F>,8,GeneralNote
N898,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note D>>,8,Slur
N929,<music21.dynamics.Dynamic p>,8,DynamicPoint
N948,<music21.dynamics.Diminuendo <music21.note.Rest half>>,8,DynamicRegion
N988,<music21.expressions.TextExpression 'dim.'>,8,TextExpression
N150,<music21.chord.Chord F5 A-5 C-6>,9,GeneralNote
N151,<music21.note.Rest half>,9,GeneralNote
N152,<music21.note.Rest whole>,9,GeneralNote
N153,<music21.note.Rest half>,9,GeneralNote
N154,<music21.note.Rest whole>,9,GeneralNote
N155,<music21.note.Note D>,9,GeneralNote
N156,<music21.note.Rest dotted-whole>,9,GeneralNote
N157,<music21.note.Rest quarter>,9,GeneralNote
N158,<music21.note.Rest half>,9,GeneralNote
N159,<music21.note.Rest half>,9,GeneralNote
N160,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
N161,<music21.note.Rest 16th>,9,GeneralNote
N162,<music21.note.Note B->,9,GeneralNote
N163,<music21.note.Note A->,9,GeneralNote
N164,<music21.note.Note G->,9,GeneralNote
N165,<music21.note.Note F>,9,GeneralNote
N166,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
N167,<music21.note.Rest half>,9,GeneralNote
N168,<music21.note.Note G->,9,GeneralNote
N169,<music21.note.Note F>,9,GeneralNote
N170,<music21.note.Note G->,9,GeneralNote
N171,<music21.note.Note A->,9,GeneralNote
N172,<music21.note.Note G->,9,GeneralNote
N173,<music21.note.Note A->,9,GeneralNote
N174,<music21.note.Note F>,9,GeneralNote
N899,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note F>>,9,Slur
N175,<music21.note.Note G->,10,GeneralNote
N176,<music21.chord.Chord E-4 G-4 B-4>,10,GeneralNote
N177,<music21.note.Rest dotted-whole>,10,GeneralNote
N178,<music21.note.Note F>,10,GeneralNote
N179,<music21.articulations.Staccato>,10,Articulation
N180,<music21.note.Note E->,10,GeneralNote
N181,<music21.articulations.Staccato>,10,Articulation
N182,<music21.chord.Chord B-4 E-5 G-5 B-5>,10,GeneralNote
N183,<music21.note.Rest quarter>,10,GeneralNote
N184,<music21.note.Rest eighth>,10,GeneralNote
N185,<music21.note.Note G->,10,GeneralNote
N186,<music21.chord.Chord D-5 E-5 G-5 B-5>,10,GeneralNote
N187,<music21.note.Note E->,10,GeneralNote
N188,<music21.note.Note C>,10,GeneralNote
N900,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note E->>,10,Slur
N901,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note A>>,10,Slur
N189,<music21.note.Note C>,11,GeneralNote
N190,<music21.chord.Chord C5 E-5 G-5>,11,GeneralNote
N191,<music21.note.Rest half>,11,GeneralNote
N192,<music21.note.Rest half>,11,GeneralNote
N193,<music21.note.Note A>,11,GeneralNote
N194,<music21.note.Rest half>,11,GeneralNote
N195,<music21.note.Rest half>,11,GeneralNote
N196,<music21.note.Rest dotted-whole>,11,GeneralNote
N197,<music21.note.Rest whole>,11,GeneralNote
N198,<music21.note.Rest quarter>,11,GeneralNote
N199,<music21.note.Note A>,11,GeneralNote
N200,<music21.chord.Chord C4 F4>,11,GeneralNote
N201,<music21.note.Rest 16th>,11,GeneralNote
N202,<music21.note.Note F>,11,GeneralNote
N203,<music21.note.Note E->,11,GeneralNote
N204,<music21.note.Note D->,11,GeneralNote
N205,<music21.note.Note C>,11,GeneralNote
N206,<music21.note.Note A>,11,GeneralNote
N207,<music21.chord.Chord C4 F4>,11,GeneralNote
N208,<music21.note.Note D->,11,GeneralNote
N209,<music21.note.Note C>,11,GeneralNote
N210,<music21.note.Note D->,11,GeneralNote
N211,<music21.note.Note E->,11,GeneralNote
N212,<music21.note.Note D->,11,GeneralNote
N213,<music21.note.Note E->,11,GeneralNote
N214,<music21.note.Note C>,11,GeneralNote
N215,<music21.note.Note D->,12,GeneralNote
N216,<music21.chord.Chord D-4 F4>,12,GeneralNote
N217,<music21.note.Note B->,12,GeneralNote
N218,<music21.note.Rest dotted-whole>,12,GeneralNote
N219,<music21.note.Note C>,12,GeneralNote
N220,<music21.articulations.Staccato>,12,Articulation
N221,<music21.note.Note B->,12,GeneralNote
N222,<music21.articulations.Staccato>,12,Articulation
N223,<music21.chord.Chord B-4 D-5 F5>,12,GeneralNote
N224,<music21.chord.Chord D-4 F4>,12,GeneralNote
N225,<music21.note.Note B->,12,GeneralNote
N226,<music21.note.Note F>,12,GeneralNote
N227,<music21.note.Note G->,12,GeneralNote
N228,<music21.note.Note F>,12,GeneralNote
N229,<music21.note.Note E->,12,GeneralNote
N230,<music21.note.Note D->,12,GeneralNote
N231,<music21.chord.Chord D-4 F4>,12,GeneralNote
N232,<music21.note.Note B->,12,GeneralNote
N233,<music21.note.Note C>,12,GeneralNote
N234,<music21.note.Note B->,12,GeneralNote
N235,<music21.note.Note A->,12,GeneralNote
N236,<music21.note.Note G->,12,GeneralNote
N237,<music21.note.Note A->,12,GeneralNote
N238,<music21.note.Note F>,12,GeneralNote
N902,<music21.spanner.Slur <music21.note.Note D-><music21.note.Note B->>,12,Slur
N989,<music21.expressions.TextExpression 'mit breite...'>,12,TextExpression
N990,<music21.expressions.TextExpression 'with broad...'>,12,TextExpression
N239,<music21.note.Note G->,13,GeneralNote
N240,<music21.note.Note E->,13,GeneralNote
N241,<music21.chord.Chord B-3 D-4>,13,GeneralNote
N242,<music21.note.Note E->,13,GeneralNote
N243,<music21.note.Rest dotted-whole>,13,GeneralNote
N244,<music21.note.Note G->,13,GeneralNote
N245,<music21.note.Rest quarter>,13,GeneralNote
N246,<music21.note.Rest quarter>,13,GeneralNote
N247,<music21.note.Note B->,13,GeneralNote
N248,<music21.note.Note D->,13,GeneralNote
N249,<music21.note.Note G->,13,GeneralNote
N250,<music21.note.Rest half>,13,GeneralNote
N251,<music21.note.Rest half>,13,GeneralNote
N252,<music21.chord.Chord B-3 C4>,13,GeneralNote
N253,<music21.note.Note E->,13,GeneralNote
N254,<music21.note.Note G->,13,GeneralNote
N255,<music21.note.Note F>,13,GeneralNote
N256,<music21.note.Note E->,13,GeneralNote
N257,<music21.note.Note D->,13,GeneralNote
N258,<music21.note.Note C>,13,GeneralNote
N259,<music21.note.Rest half>,13,GeneralNote
N260,<music21.note.Rest half>,13,GeneralNote
N261,<music21.chord.Chord B-3 C4>,13,GeneralNote
N262,<music21.note.Note E->,13,GeneralNote
N263,<music21.note.Note E->,13,GeneralNote
N264,<music21.note.Note D->,13,GeneralNote
N265,<music21.note.Note C>,13,GeneralNote
N266,<music21.articulations.Tenuto>,13,Articulation
N267,<music21.note.Note D->,13,GeneralNote
N268,<music21.articulations.Tenuto>,13,Articulation
N269,<music21.note.Note E->,13,GeneralNote
N270,<music21.articulations.Tenuto>,13,Articulation
N903,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note C>>,13,Slur
N930,<music21.dynamics.Dynamic mf>,13,DynamicPoint
N271,<music21.note.Note F>,14,GeneralNote
N272,<music21.note.Rest half>,14,GeneralNote
N273,<music21.note.Rest half>,14,GeneralNote
N274,<music21.note.Rest half>,14,GeneralNote
N275,<music21.note.Rest half>,14,GeneralNote
N276,<music21.chord.Chord A3 C4>,14,GeneralNote
N277,<music21.note.Note E->,14,GeneralNote
N278,<music21.note.Rest dotted-whole>,14,GeneralNote
N279,<music21.note.Note G>,14,GeneralNote
N280,<music21.note.Note A>,14,GeneralNote
N281,<music21.note.Note A>,14,GeneralNote
N282,<music21.note.Note G>,14,GeneralNote
N283,<music21.note.Note A>,14,GeneralNote
N284,<music21.note.Note B->,14,GeneralNote
N285,<music21.articulations.Accent>,14,Articulation
N286,<music21.note.Rest quarter>,14,GeneralNote
N287,<music21.chord.Chord F3 B-3>,14,GeneralNote
N288,<music21.note.Note D->,14,GeneralNote
N289,<music21.note.Rest eighth>,14,GeneralNote
N290,<music21.note.Note F>,14,GeneralNote
N291,<music21.note.Note G->,14,GeneralNote
N292,<music21.note.Note B->,14,GeneralNote
N293,<music21.note.Note E->,14,GeneralNote
N294,<music21.note.Note E->,14,GeneralNote
N931,<music21.dynamics.Dynamic f>,14,DynamicPoint
N991,<music21.expressions.TextExpression 'ten.'>,14,TextExpression
N992,<music21.expressions.TextExpression 'meno'>,14,TextExpression
N295,<music21.note.Note B->,15,GeneralNote
N296,<music21.note.Note C>,15,GeneralNote
N297,<music21.note.Rest half>,15,GeneralNote
N298,<music21.note.Rest whole>,15,GeneralNote
N299,<music21.note.Rest half>,15,GeneralNote
N300,<music21.note.Rest whole>,15,GeneralNote
N301,<music21.note.Note F>,15,GeneralNote
N302,<music21.note.Note F>,15,GeneralNote
N303,<music21.note.Rest dotted-whole>,15,GeneralNote
N304,<music21.note.Note C>,15,GeneralNote
N305,<music21.note.Note D->,15,GeneralNote
N306,<music21.note.Note C>,15,GeneralNote
N307,<music21.note.Note D->,15,GeneralNote
N308,<music21.note.Note E->,15,GeneralNote
N309,<music21.note.Rest half>,15,GeneralNote
N310,<music21.note.Rest half>,15,GeneralNote
N311,<music21.note.Note F>,15,GeneralNote
N312,<music21.note.Note F>,15,GeneralNote
N313,<music21.articulations.Staccato>,15,Articulation
N314,<music21.note.Note D->,15,GeneralNote
N315,<music21.note.Note C>,15,GeneralNote
N316,<music21.note.Note D->,15,GeneralNote
N317,<music21.note.Note E->,15,GeneralNote
N318,<music21.note.Note F>,15,GeneralNote
N319,<music21.note.Note E->,15,GeneralNote
N320,<music21.note.Note F>,15,GeneralNote
N321,<music21.note.Note A>,15,GeneralNote
N322,<music21.note.Note G->,15,GeneralNote
N323,<music21.note.Note C>,15,GeneralNote
N324,<music21.note.Note F>,15,GeneralNote
N325,<music21.note.Note F>,15,GeneralNote
N326,<music21.articulations.Staccato>,15,Articulation
N327,<music21.note.Note F>,15,GeneralNote
N328,<music21.note.Note E->,15,GeneralNote
N904,<music21.spanner.Slur <music21.note.Note C><music21.note.Note G->>,15,Slur
N905,<music21.spanner.Slur <music21.note.Note F><music21.note.Note F>>,15,Slur
N950,<music21.dynamics.Diminuendo <music21.note.Note A>>,15,DynamicRegion
N952,<music21.dynamics.Crescendo <music21.note.Note C><music21.note.Note F>>,15,DynamicRegion
N329,<music21.note.Note B->,16,GeneralNote
N330,<music21.note.Note D->,16,GeneralNote
N331,<music21.note.Note B->,16,GeneralNote
N332,<music21.chord.Chord F3 B-3>,16,GeneralNote
N333,<music21.note.Rest dotted-whole>,16,GeneralNote
N334,<music21.note.Note C>,16,GeneralNote
N335,<music21.note.Note E->,16,GeneralNote
N336,<music21.note.Note D->,16,GeneralNote
N337,<music21.chord.Chord F4 B-4>,16,GeneralNote
N338,<music21.note.Rest half>,16,GeneralNote
N339,<music21.note.Rest quarter>,16,GeneralNote
N340,<music21.note.Rest half>,16,GeneralNote
N341,<music21.note.Rest eighth>,16,GeneralNote
N342,<music21.note.Note B->,16,GeneralNote
N343,<music21.note.Note D->,16,GeneralNote
N344,<music21.chord.Chord F4 B-4>,16,GeneralNote
N345,<music21.note.Rest half>,16,GeneralNote
N346,<music21.note.Note D->,16,GeneralNote
N347,<music21.note.Rest half>,16,GeneralNote
N348,<music21.note.Note F>,16,GeneralNote
N954,<music21.dynamics.Crescendo <music21.note.Note D-><music21.note.Note B->>,16,DynamicRegion
N993,<music21.expressions.TextExpression 'poco'>,16,TextExpression
N994,<music21.expressions.TextExpression '3 corde'>,16,TextExpression
N349,<music21.note.Note D->,17,GeneralNote
N350,<music21.chord.Chord F-4 B-4>,17,GeneralNote
N351,<music21.note.Note G>,17,GeneralNote
N352,<music21.note.Rest dotted-whole>,17,GeneralNote
N353,<music21.note.Rest eighth>,17,GeneralNote
N354,<music21.note.Rest eighth>,17,GeneralNote
N355,<music21.note.Note C->,17,GeneralNote
N356,<music21.note.Rest eighth>,17,GeneralNote
N357,<music21.note.Rest eighth>,17,GeneralNote
N358,<music21.note.Note B->,17,GeneralNote
N359,<music21.note.Note F->,17,GeneralNote
N360,<music21.chord.Chord B-4 D-5>,17,GeneralNote
N361,<music21.note.Note G>,17,GeneralNote
N362,<music21.note.Note G>,17,GeneralNote
N363,<music21.note.Note B->,17,GeneralNote
N364,<music21.note.Note A->,17,GeneralNote
N365,<music21.note.Note G>,17,GeneralNote
N366,<music21.chord.Chord D-5 F-5>,17,GeneralNote
N367,<music21.chord.Chord B-4 D-5>,17,GeneralNote
N368,<music21.note.Note D->,17,GeneralNote
N369,<music21.note.Note E->,17,GeneralNote
N370,<music21.note.Rest eighth>,17,GeneralNote
N371,<music21.note.Rest eighth>,17,GeneralNote
N372,<music21.note.Note D->,17,GeneralNote
N956,<music21.dynamics.Crescendo <music21.note.Note C-><music21.note.Note D->>,17,DynamicRegion
N958,<music21.dynamics.Crescendo <music21.note.Note E-><music21.note.Note G>>,17,DynamicRegion
N995,<music21.expressions.TextExpression 'steigernd'>,17,TextExpression
N996,<music21.expressions.TextExpression 'cresc.'>,17,TextExpression
N373,<music21.note.Note G>,18,GeneralNote
N374,<music21.chord.Chord B-4 D-5>,18,GeneralNote
N375,<music21.note.Rest half>,18,GeneralNote
N376,<music21.note.Rest whole>,18,GeneralNote
N377,<music21.note.Rest half>,18,GeneralNote
N378,<music21.note.Rest whole>,18,GeneralNote
N379,<music21.note.Note D->,18,GeneralNote
N380,<music21.note.Rest dotted-whole>,18,GeneralNote
N381,<music21.note.Note C->,18,GeneralNote
N382,<music21.note.Note B->,18,GeneralNote
N383,<music21.note.Note G>,18,GeneralNote
N384,<music21.chord.Chord B-4 D-5>,18,GeneralNote
N385,<music21.note.Rest half>,18,GeneralNote
N386,<music21.note.Rest half>,18,GeneralNote
N387,<music21.note.Note F->,18,GeneralNote
N388,<music21.articulations.Tenuto>,18,Articulation
N389,<music21.note.Note E->,18,GeneralNote
N390,<music21.articulations.Tenuto>,18,Articulation
N391,<music21.note.Note F->,18,GeneralNote
N392,<music21.articulations.Tenuto>,18,Articulation
N393,<music21.note.Note F>,18,GeneralNote
N394,<music21.note.Rest eighth>,18,GeneralNote
N395,<music21.note.Rest eighth>,18,GeneralNote
N396,<music21.note.Note D->,18,GeneralNote
N397,<music21.articulations.Tenuto>,18,Articulation
N398,<music21.note.Note E->,18,GeneralNote
N399,<music21.note.Note A->,18,GeneralNote
N400,<music21.note.Rest half>,18,GeneralNote
N401,<music21.chord.Chord C-5 E-5>,18,GeneralNote
N402,<music21.note.Rest half>,18,GeneralNote
N403,<music21.note.Note C->,18,GeneralNote
N404,<music21.note.Note B->,18,GeneralNote
N405,<music21.note.Note A->,18,GeneralNote
N406,<music21.note.Note B->,18,GeneralNote
N407,<music21.note.Note C->,18,GeneralNote
N408,<music21.note.Note A->,18,GeneralNote
N409,<music21.note.Note B->,18,GeneralNote
N410,<music21.note.Note C->,18,GeneralNote
N906,<music21.spanner.Slur <music21.note.Note F-><music21.note.Note D->>,18,Slur
N960,<music21.dynamics.Crescendo <music21.note.Note D-><music21.note.Note B->>,18,DynamicRegion
N962,<music21.dynamics.Crescendo <music21.note.Note C-><music21.note.Note C->>,18,DynamicRegion
N411,<music21.note.Note A->,19,GeneralNote
N412,<music21.note.Rest half>,19,GeneralNote
N413,<music21.note.Rest half>,19,GeneralNote
N414,<music21.note.Rest half>,19,GeneralNote
N415,<music21.note.Rest half>,19,GeneralNote
N416,<music21.note.Rest half>,19,GeneralNote
N417,<music21.note.Rest half>,19,GeneralNote
N418,<music21.note.Note F->,19,GeneralNote
N419,<music21.articulations.Tenuto>,19,Articulation
N420,<music21.note.Rest dotted-whole>,19,GeneralNote
N421,<music21.note.Note G>,19,GeneralNote
N422,<music21.note.Note A->,19,GeneralNote
N423,<music21.note.Note F->,19,GeneralNote
N424,<music21.note.Note F->,19,GeneralNote
N425,<music21.note.Note B->,19,GeneralNote
N426,<music21.note.Note E->,19,GeneralNote
N427,<music21.note.Note D->,19,GeneralNote
N428,<music21.note.Note B->,19,GeneralNote
N429,<music21.note.Note E->,19,GeneralNote
N430,<music21.note.Note G>,19,GeneralNote
N431,<music21.note.Note E->,19,GeneralNote
N432,<music21.note.Note D->,19,GeneralNote
N433,<music21.note.Note D->,19,GeneralNote
N434,<music21.note.Note E->,19,GeneralNote
N435,<music21.note.Note A->,19,GeneralNote
N436,<music21.note.Note E->,19,GeneralNote
N907,<music21.spanner.Slur <music21.note.Note G><music21.note.Note B->>,19,Slur
N964,<music21.dynamics.Diminuendo <music21.note.Note D-><music21.note.Note G->>,19,DynamicRegion
N437,<music21.note.Note A->,20,GeneralNote
N438,<music21.articulations.Tenuto>,20,Articulation
N439,<music21.chord.Chord C-5 E-5>,20,GeneralNote
N440,<music21.note.Note A->,20,GeneralNote
N441,<music21.note.Rest dotted-whole>,20,GeneralNote
N442,<music21.note.Rest eighth>,20,GeneralNote
N443,<music21.note.Note C->,20,GeneralNote
N444,<music21.note.Note F>,20,GeneralNote
N445,<music21.note.Rest half>,20,GeneralNote
N446,<music21.note.Rest half>,20,GeneralNote
N447,<music21.note.Rest quarter>,20,GeneralNote
N448,<music21.note.Rest eighth>,20,GeneralNote
N449,<music21.note.Note G->,20,GeneralNote
N450,<music21.note.Note C->,20,GeneralNote
N451,<music21.note.Note A->,20,GeneralNote
N452,<music21.note.Note D>,20,GeneralNote
N453,<music21.note.Rest half>,20,GeneralNote
N454,<music21.note.Rest half>,20,GeneralNote
N455,<music21.note.Note F>,20,GeneralNote
N456,<music21.note.Note E->,20,GeneralNote
N457,<music21.articulations.Tenuto>,20,Articulation
N458,<music21.note.Note G->,20,GeneralNote
N459,<music21.note.Note F>,20,GeneralNote
N460,<music21.articulations.Tenuto>,20,Articulation
N461,<music21.note.Note A->,20,GeneralNote
N932,<music21.dynamics.Dynamic f>,20,DynamicPoint
N933,<music21.dynamics.Dynamic f>,20,DynamicPoint
N997,<music21.expressions.TextExpression '(as above)'>,20,TextExpression
N998,<music21.expressions.TextExpression 'più deciso'>,20,TextExpression
N999,<music21.expressions.TextExpression 'ma sempre ...'>,20,TextExpression
N1000,<music21.expressions.TextExpression 'non legato'>,20,TextExpression
N1001,<music21.expressions.TextExpression 'non legato'>,20,TextExpression
N1002,<music21.expressions.TextExpression 'senza pedale'>,20,TextExpression
N462,<music21.note.Note B->,21,GeneralNote
N463,<music21.note.Note D>,21,GeneralNote
N464,<music21.note.Rest dotted-whole>,21,GeneralNote
N465,<music21.note.Note A->,21,GeneralNote
N466,<music21.note.Note E->,21,GeneralNote
N467,<music21.note.Note F>,21,GeneralNote
N468,<music21.note.Note D>,21,GeneralNote
N469,<music21.note.Note B->,21,GeneralNote
N470,<music21.note.Note E->,21,GeneralNote
N471,<music21.note.Note A->,21,GeneralNote
N472,<music21.note.Note F>,21,GeneralNote
N473,<music21.note.Note B->,21,GeneralNote
N474,<music21.note.Note D>,21,GeneralNote
N475,<music21.note.Note C>,21,GeneralNote
N476,<music21.note.Note E->,21,GeneralNote
N477,<music21.note.Note D>,21,GeneralNote
N478,<music21.note.Note F>,21,GeneralNote
